Repository Name,Stars,Repository Age,Accepted Pull Requests,Total Releases,Time since last update,Primary Language,Primary Language Number,Closed Issues %
lazygit,38571,1936,1101,148,79754,Go,10,0.6644250168123739
uni-app,38565,1882,216,0,30104,JavaScript,3,0.7130905511811023
hiring-without-whiteboards,38421,2366,1197,0,78373,JavaScript,3,0
joplin,38401,2423,2270,300,79152,TypeScript,0,0.9413971770591388
zx,38380,854,113,58,82065,JavaScript,3,0.8696883852691218
powerlevel10k,38352,1654,143,32,80123,Shell,5,0.9863945578231292
Leaflet,38327,4731,2869,31,2652,JavaScript,3,0.9275419545903257
AppFlowy,38282,812,1508,43,78585,Dart,28,0.664218958611482
gitea,38202,2500,13303,174,81701,Go,10,0.815660263588595
30-Days-Of-JavaScript,38201,1353,98,0,76039,JavaScript,3,0.3795620437956204
FFmpeg,38200,4528,16,0,76076,C,6,0
dive,38184,1942,135,25,75883,Go,10,0.5567010309278351
front-end-interview-handbook,38162,2061,229,0,75649,MDX,29,0.8172043010752689
edex-ui,38137,2412,399,29,80662,JavaScript,3,0.9892665474060823
kubernetes-the-hard-way,36408,2617,69,0,76234,none,1,0.7786666666666666
json,36371,3716,675,43,78096,C++,4,0.966046511627907
ailearning,36308,2384,475,2,2072,Python,2,0.9719626168224299
swiper,36300,4192,550,52,80783,JavaScript,3,0.9658869395711501
open-source-ios-apps,36261,3144,857,37,80523,none,1,1.0
Deep-Learning-Papers-Reading-Roadmap,36215,2518,28,0,83794,Python,2,0.07547169811320754
starship,36180,1618,2406,122,77241,Rust,13,0.7629668049792531
type-challenges,36160,1140,515,0,77596,TypeScript,0,0.10058867821206106
query,36157,1456,1558,648,82729,TypeScript,0,0.9822190611664295
video.js,36138,4862,1649,292,79630,JavaScript,3,0.9121912975303802
hexo,37370,4000,857,109,83531,JavaScript,3,0.9834325653637069
impress.js,37317,4269,115,15,75674,JavaScript,3,0.8773784355179705
uBlock,37262,3079,221,288,76482,JavaScript,3,0.996231884057971
what-happens-when,37222,3590,108,0,6709,none,1,0.18716577540106952
privateGPT,37218,127,39,0,79057,Python,2,0.30272108843537415
awesome-react-components,37014,2630,306,0,80532,none,1,0.9777777777777777
brew,36971,2740,9681,326,75894,Ruby,23,0.9941846377513933
hackingtool,36931,1243,52,0,75880,Python,2,0.9527027027027027
Rocket.Chat,36903,3032,10960,813,79078,TypeScript,0,0.8425713348638898
quill,36872,4054,283,82,81032,TypeScript,0,0.6053853296193129
awesome-rust,36789,3338,1223,0,76321,Rust,13,0.9206349206349206
MPAndroidChart,36781,3421,190,44,20712,Java,8,0.5886321815579636
open-source-mac-os-apps,36691,2133,516,0,76081,none,1,0.7712765957446809
spark,36635,3480,5,0,76906,Scala,20,0
react-hook-form,36627,1645,1834,532,76304,TypeScript,0,0.9962387161484454
freecodecamp.cn,36498,2532,55,0,3508,CSS,16,0.7602739726027398
kubernetes-the-hard-way,36408,2617,69,0,76239,none,1,0.7786666666666666
json,36371,3716,675,43,78101,C++,4,0.966046511627907
ailearning,36308,2384,475,2,2077,Python,2,0.9719626168224299
swiper,36300,4192,550,52,80788,JavaScript,3,0.9658869395711501
open-source-ios-apps,36261,3144,857,37,80532,none,1,1.0
Deep-Learning-Papers-Reading-Roadmap,36215,2518,28,0,83803,Python,2,0.07547169811320754
starship,36180,1618,2406,122,77250,Rust,13,0.7629668049792531
type-challenges,36160,1140,515,0,77605,TypeScript,0,0.10058867821206106
query,36157,1456,1558,648,82738,TypeScript,0,0.9822190611664295
video.js,36138,4862,1649,292,79639,JavaScript,3,0.9121912975303802
jadx,36035,3823,413,28,3784,Java,8,0.7771164021164021
weekly,35977,1789,68,0,9057,none,1,0.19509981851179672
php-src,35961,4465,1782,0,12797,C,6,0.7718157181571815
esbuild,35940,2640,218,266,1060,Go,10,0.8967611336032388
cheat.sh,35918,2312,122,0,75618,Python,2,0.5387931034482759
kong,35841,3214,4688,132,81938,Lua,30,0.9535946140899254
drawio,35776,2556,36,761,79129,JavaScript,3,0.8778481012658228
jeecg-boot,35743,1745,18,29,15179,Java,8,0.9918752744839702
annotated_deep_learning_paper_implementations,35578,1107,80,0,81890,Jupyter Notebook,7,0.7722772277227723
monaco-editor,35467,2646,376,0,81069,JavaScript,3,0.8937387116195064
slate,35432,3644,291,28,29211,SCSS,31,0.9190082644628099
Prompt-Engineering-Guide,35408,264,170,0,76564,MDX,29,0.3125
styleguide,35349,3030,150,0,83883,HTML,14,0.3875
interview_internal_reference,35340,1549,35,0,83355,Python,2,0.4
shadowsocks-android,33956,3916,250,184,83039,Kotlin,24,0.9846029173419774
glide,33885,3711,509,46,77309,Java,8,0.8980064904960593
manifesto,33708,24,704,0,75959,HTML,14,0.47368421052631576
prisma,33662,1539,4366,164,86208,TypeScript,0,0.696697695035461
istio,33607,2482,22565,307,11032,Go,10,0.9705216671266906
dbeaver,33593,2877,3819,183,78585,Java,8,0.8825394728149567
cs-self-learning,33542,686,201,3,1834,HTML,14,0.5
caffe,33539,3645,1087,14,2583,C++,4,0.8132832080200502
taro,33509,1977,2783,155,5022,TypeScript,0,0.9008420009905894
sheetjs,33485,3928,106,0,73,JavaScript,3,0.95132186319765
TaskMatrix,34014,188,21,0,76659,Python,2,0.3898809523809524
shadowsocks-android,33956,3916,250,184,83041,Kotlin,24,0.9846029173419774
metabase,33946,3137,16579,390,77639,Clojure,18,0.8004200257435133
ChatGLM-6B,33936,177,48,0,2825,Python,2,0.603448275862069
glide,33885,3711,509,46,77311,Java,8,0.8980064904960593
manifesto,33708,24,704,0,75961,HTML,14,0.47368421052631576
istio,33607,2482,22565,307,11034,Go,10,0.9705216671266906
dbeaver,33593,2877,3819,183,78587,Java,8,0.8825394728149567
cs-self-learning,33542,686,201,3,1836,HTML,14,0.5
caffe,33539,3645,1087,14,2585,C++,4,0.8132832080200502
AFNetworking,33355,4480,710,40,81914,Objective-C,32,0
python-cheatsheet,33301,2050,14,0,78465,Python,2,0.8870967741935484
awesome-react-native,33273,3085,912,0,14275,JavaScript,3,0.5147058823529411
arthas,33268,1833,468,51,7086,Java,8,0.8710382513661202
